

--- Timestep = 0 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Densities	 1.621e+00	 1.654e+00	 1.689e+00	 2.723e-02
    Collisions	 6.480e+00	 6.513e+00	 6.551e+00	 2.527e-02
    Mov window	 1.601e+00	 1.618e+00	 1.645e+00	 1.734e-02
Sync Particles	 3.250e+01	 3.255e+01	 3.258e+01	 3.084e-02
   Sync Fields	 1.506e+01	 1.522e+01	 1.544e+01	 1.525e-01
Sync Densities	 1.579e+01	 1.598e+01	 1.607e+01	 1.105e-01
  Part Merging	 3.204e+00	 3.246e+00	 3.269e+00	 2.468e-02
Part Injection	 3.265e+00	 3.294e+00	 3.319e+00	 2.280e-02


--- Timestep = 9 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 7.299e+00	 7.338e+00	 7.393e+00	 3.806e-02
       Maxwell	 9.063e+00	 9.093e+00	 9.130e+00	 2.913e-02
    Maxwell_BC	 7.318e+00	 7.382e+00	 7.482e+00	 6.148e-02
   Diagnostics	 2.340e+01	 2.348e+01	 2.359e+01	 6.968e-02
     Densities	 1.815e+00	 1.842e+00	 1.881e+00	 2.674e-02
    Collisions	 7.207e+00	 7.252e+00	 7.310e+00	 3.744e-02
    Mov window	 1.780e+00	 1.800e+00	 1.827e+00	 1.799e-02
Sync Particles	 3.619e+01	 3.627e+01	 3.632e+01	 5.207e-02
   Sync Fields	 1.679e+01	 1.702e+01	 1.729e+01	 1.845e-01
Sync Densities	 1.756e+01	 1.786e+01	 1.803e+01	 1.768e-01
  Part Merging	 3.571e+00	 3.616e+00	 3.646e+00	 2.748e-02
Part Injection	 3.636e+00	 3.663e+00	 3.692e+00	 2.029e-02


--- Timestep = 9 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 7.299e+00	 7.338e+00	 7.393e+00	 3.806e-02
       Maxwell	 9.063e+00	 9.093e+00	 9.130e+00	 2.913e-02
    Maxwell_BC	 7.318e+00	 7.382e+00	 7.482e+00	 6.148e-02
   Diagnostics	 2.343e+01	 2.351e+01	 2.362e+01	 7.164e-02
     Densities	 1.816e+00	 1.844e+00	 1.884e+00	 2.712e-02
    Collisions	 7.217e+00	 7.262e+00	 7.319e+00	 3.712e-02
    Mov window	 1.782e+00	 1.803e+00	 1.830e+00	 1.831e-02
Sync Particles	 3.619e+01	 3.627e+01	 3.632e+01	 5.207e-02
   Sync Fields	 1.679e+01	 1.702e+01	 1.729e+01	 1.845e-01
Sync Densities	 1.756e+01	 1.786e+01	 1.803e+01	 1.768e-01
  Part Merging	 3.571e+00	 3.616e+00	 3.646e+00	 2.748e-02
Part Injection	 3.636e+00	 3.663e+00	 3.692e+00	 2.029e-02
